"species","longitude","latitude"
"Cetorhinus maximus",0.25,0.25
"Cetorhinus maximus",1.75,6.25
"Cetorhinus maximus",2.25,6.25
"Cetorhinus maximus",2.75,6.25
"Cetorhinus maximus",117.75,21.25
"Cetorhinus maximus",119.75,25.25
"Cetorhinus maximus",122.25,23.25
"Cetorhinus maximus",120.25,24.25
"Cetorhinus maximus",4.25,36.75
"Cetorhinus maximus",2.75,37.25
"Cetorhinus maximus",0.25,38.25
"Cetorhinus maximus",0.75,38.25
"Cetorhinus maximus",0.25,38.75
"Cetorhinus maximus",0.25,39.25
"Cetorhinus maximus",0.25,39.75
"Cetorhinus maximus",0.75,39.75
"Cetorhinus maximus",2.25,39.25
"Cetorhinus maximus",2.75,39.25
"Cetorhinus maximus",2.25,39.75
"Cetorhinus maximus",2.75,39.75
"Cetorhinus maximus",3.25,39.75
"Cetorhinus maximus",3.75,39.75
"Cetorhinus maximus",4.25,39.75
"Cetorhinus maximus",7.25,36.75
"Cetorhinus maximus",7.75,36.75
"Cetorhinus maximus",8.25,39.25
"Cetorhinus maximus",10.25,34.25
"Cetorhinus maximus",10.75,34.25
"Cetorhinus maximus",17.25,31.25
"Cetorhinus maximus",13.75,35.75
"Cetorhinus maximus",14.25,35.75
"Cetorhinus maximus",10.75,36.25
"Cetorhinus maximus",10.25,36.75
"Cetorhinus maximus",10.75,36.75
"Cetorhinus maximus",12.25,36.25
"Cetorhinus maximus",14.25,36.25
"Cetorhinus maximus",14.75,36.25
"Cetorhinus maximus",14.75,36.75
"Cetorhinus maximus",10.25,37.25
"Cetorhinus maximus",10.75,37.25
"Cetorhinus maximus",13.25,38.25
"Cetorhinus maximus",12.75,39.75
"Cetorhinus maximus",15.25,36.75
"Cetorhinus maximus",15.25,37.25
"Cetorhinus maximus",15.25,37.75
"Cetorhinus maximus",15.25,38.25
"Cetorhinus maximus",15.75,38.25
"Cetorhinus maximus",16.25,38.75
"Cetorhinus maximus",20.25,33.25
"Cetorhinus maximus",29.75,34.75
"Cetorhinus maximus",21.25,36.25
"Cetorhinus maximus",24.25,37.25
"Cetorhinus maximus",24.25,37.75
"Cetorhinus maximus",27.75,36.25
"Cetorhinus maximus",25.25,37.25
"Cetorhinus maximus",25.75,38.25
"Cetorhinus maximus",25.75,39.25
"Cetorhinus maximus",34.75,32.75
"Cetorhinus maximus",30.75,36.75
"Cetorhinus maximus",34.75,36.75
"Cetorhinus maximus",35.75,35.75
"Cetorhinus maximus",127.25,34.25
"Cetorhinus maximus",127.75,39.75
"Cetorhinus maximus",130.25,35.75
"Cetorhinus maximus",130.25,39.75
"Cetorhinus maximus",139.75,35.25
"Cetorhinus maximus",139.75,35.75
"Cetorhinus maximus",137.25,37.25
"Cetorhinus maximus",140.75,36.25
"Cetorhinus maximus",143.75,37.25
"Cetorhinus maximus",0.25,40.25
"Cetorhinus maximus",1.25,41.25
"Cetorhinus maximus",1.75,41.25
"Cetorhinus maximus",2.25,41.25
"Cetorhinus maximus",2.75,41.25
"Cetorhinus maximus",3.25,41.25
"Cetorhinus maximus",3.25,41.75
"Cetorhinus maximus",4.25,41.75
"Cetorhinus maximus",4.75,41.75
"Cetorhinus maximus",3.25,42.25
"Cetorhinus maximus",3.25,42.75
"Cetorhinus maximus",3.25,43.25
"Cetorhinus maximus",4.25,43.25
"Cetorhinus maximus",8.25,40.75
"Cetorhinus maximus",6.25,41.75
"Cetorhinus maximus",9.25,41.25
"Cetorhinus maximus",9.25,41.75
"Cetorhinus maximus",9.75,41.75
"Cetorhinus maximus",5.75,42.25
"Cetorhinus maximus",6.25,42.25
"Cetorhinus maximus",6.75,42.25
"Cetorhinus maximus",6.75,42.75
"Cetorhinus maximus",7.75,42.75
"Cetorhinus maximus",8.75,42.75
"Cetorhinus maximus",9.25,42.75
"Cetorhinus maximus",9.75,42.75
"Cetorhinus maximus",5.25,43.25
"Cetorhinus maximus",6.25,43.25
"Cetorhinus maximus",6.75,43.25
"Cetorhinus maximus",7.25,43.25
"Cetorhinus maximus",7.75,43.25
"Cetorhinus maximus",7.25,43.75
"Cetorhinus maximus",7.75,43.75
"Cetorhinus maximus",8.25,43.25
"Cetorhinus maximus",8.25,43.75
"Cetorhinus maximus",9.25,43.25
"Cetorhinus maximus",9.75,43.25
"Cetorhinus maximus",8.25,44.25
"Cetorhinus maximus",8.75,44.25
"Cetorhinus maximus",9.25,44.25
"Cetorhinus maximus",9.75,44.25
"Cetorhinus maximus",1.25,49.75
"Cetorhinus maximus",13.25,40.75
"Cetorhinus maximus",13.75,40.75
"Cetorhinus maximus",14.25,40.25
"Cetorhinus maximus",14.25,40.75
"Cetorhinus maximus",12.75,41.25
"Cetorhinus maximus",12.25,41.75
"Cetorhinus maximus",10.25,42.25
"Cetorhinus maximus",10.25,42.75
"Cetorhinus maximus",10.75,42.75
"Cetorhinus maximus",11.25,42.25
"Cetorhinus maximus",11.75,42.25
"Cetorhinus maximus",13.75,42.75
"Cetorhinus maximus",10.25,43.25
"Cetorhinus maximus",10.75,43.25
"Cetorhinus maximus",10.25,43.75
"Cetorhinus maximus",12.75,43.75
"Cetorhinus maximus",13.75,43.25
"Cetorhinus maximus",13.25,43.75
"Cetorhinus maximus",13.75,43.75
"Cetorhinus maximus",10.25,44.25
"Cetorhinus maximus",12.25,44.25
"Cetorhinus maximus",12.75,44.25
"Cetorhinus maximus",12.25,44.75
"Cetorhinus maximus",13.75,44.75
"Cetorhinus maximus",14.75,44.25
"Cetorhinus maximus",14.25,44.75
"Cetorhinus maximus",14.75,44.75
"Cetorhinus maximus",15.75,40.25
"Cetorhinus maximus",17.75,40.25
"Cetorhinus maximus",19.25,40.75
"Cetorhinus maximus",16.25,41.25
"Cetorhinus maximus",16.75,41.25
"Cetorhinus maximus",18.75,41.25
"Cetorhinus maximus",17.25,42.75
"Cetorhinus maximus",17.75,42.75
"Cetorhinus maximus",19.25,42.25
"Cetorhinus maximus",15.25,43.75
"Cetorhinus maximus",15.75,43.75
"Cetorhinus maximus",16.25,43.25
"Cetorhinus maximus",16.75,43.25
"Cetorhinus maximus",17.25,43.25
"Cetorhinus maximus",13.25,45.25
"Cetorhinus maximus",13.75,45.25
"Cetorhinus maximus",13.25,45.75
"Cetorhinus maximus",13.75,45.75
"Cetorhinus maximus",14.25,45.25
"Cetorhinus maximus",0.25,50.75
"Cetorhinus maximus",1.75,50.75
"Cetorhinus maximus",1.25,51.75
"Cetorhinus maximus",2.25,51.25
"Cetorhinus maximus",2.75,51.25
"Cetorhinus maximus",2.25,51.75
"Cetorhinus maximus",3.25,51.25
"Cetorhinus maximus",3.25,51.75
"Cetorhinus maximus",3.75,51.75
"Cetorhinus maximus",4.25,51.25
"Cetorhinus maximus",1.75,52.75
"Cetorhinus maximus",4.25,52.25
"Cetorhinus maximus",4.75,52.25
"Cetorhinus maximus",4.25,52.75
"Cetorhinus maximus",4.75,52.75
"Cetorhinus maximus",3.75,53.25
"Cetorhinus maximus",3.25,53.75
"Cetorhinus maximus",4.25,53.25
"Cetorhinus maximus",4.75,53.25
"Cetorhinus maximus",4.25,53.75
"Cetorhinus maximus",3.25,54.25
"Cetorhinus maximus",3.75,54.25
"Cetorhinus maximus",5.25,53.25
"Cetorhinus maximus",5.75,53.25
"Cetorhinus maximus",5.25,53.75
"Cetorhinus maximus",6.25,53.75
"Cetorhinus maximus",6.75,53.75
"Cetorhinus maximus",8.25,53.75
"Cetorhinus maximus",9.25,57.75
"Cetorhinus maximus",9.75,58.75
"Cetorhinus maximus",5.25,59.25
"Cetorhinus maximus",11.25,55.25
"Cetorhinus maximus",10.75,57.25
"Cetorhinus maximus",11.75,57.25
"Cetorhinus maximus",11.75,57.75
"Cetorhinus maximus",10.75,59.25
"Cetorhinus maximus",10.25,59.75
"Cetorhinus maximus",10.75,59.75
"Cetorhinus maximus",162.75,58.75
"Cetorhinus maximus",165.75,57.25
"Cetorhinus maximus",174.75,52.25
"Cetorhinus maximus",1.25,61.25
"Cetorhinus maximus",1.25,61.75
"Cetorhinus maximus",2.75,61.75
"Cetorhinus maximus",6.25,62.25
"Cetorhinus maximus",6.25,62.75
"Cetorhinus maximus",7.75,63.25
"Cetorhinus maximus",8.25,63.75
"Cetorhinus maximus",9.75,63.25
"Cetorhinus maximus",9.25,63.75
"Cetorhinus maximus",9.75,63.75
"Cetorhinus maximus",17.75,60.75
"Cetorhinus maximus",18.75,62.25
"Cetorhinus maximus",12.25,65.25
"Cetorhinus maximus",12.25,65.75
"Cetorhinus maximus",11.75,66.25
"Cetorhinus maximus",11.75,66.75
"Cetorhinus maximus",12.75,67.75
"Cetorhinus maximus",13.75,67.25
"Cetorhinus maximus",14.75,68.25
"Cetorhinus maximus",12.25,69.25
"Cetorhinus maximus",15.25,67.75
"Cetorhinus maximus",15.25,69.25
"Cetorhinus maximus",17.25,69.75
"Cetorhinus maximus",32.75,67.25
"Cetorhinus maximus",34.75,69.75
"Cetorhinus maximus",28.25,71.25
"Cetorhinus maximus",14.75,-22.75
"Cetorhinus maximus",113.25,-29.75
"Cetorhinus maximus",114.75,-29.25
"Cetorhinus maximus",17.25,-30.25
"Cetorhinus maximus",18.25,-32.25
"Cetorhinus maximus",18.25,-32.75
"Cetorhinus maximus",17.75,-33.75
"Cetorhinus maximus",18.25,-33.75
"Cetorhinus maximus",18.25,-34.25
"Cetorhinus maximus",18.75,-34.25
